AssetID,Desc,DeprYTD,cCode,eCode,ceCode,odooAssetAcctNo,odooExpAcctNo
498,40 Manufacturing Carts - New Butler,2002.9,3,311,3311,15305,50311
508,Deliver TruPunch,560.0,3,111,3111,15302,50111
532,Punch Tooling,884.93,4,111,4111,15402,50111
537,30 Black Bins,728.05,3,280,3280,15312,79280
536,25 Wire Containers,724.96,3,280,3280,15312,79280
544,Steel Racking x25,615.86,3,180,3180,15311,79810
527,Tru Tool - TSC 100,919.57,4,112,4112,15403,50112
516,Cabinet for new Press Breake Tooling,469.0,4,112,4112,15403,50112
638,6 Cylinders Leak Test Tank Auto Project,487.41,3,370,3370,15307,50370
373,Office Front Glass Work,460.73,2,200,2200,15202,61200
509,Punch Tooling - 16 Pieces,1103.83,4,111,4111,15402,50111
571,5 Engineering Computers,2199.5,5,906,5906,15501,75206
526,Brake Tooling - 1 Punch & 1 Die,844.11,4,112,4112,15403,50112
540,Tooling for Tub end finishing machine,560.0,4,113,4113,15404,50113
637,3 computers for inventory control,664.74,5,906,5906,15501,75206
630,Servometer - 2000 Punch,392.78,3,111,3111,15302,50111
561,Argon Extensions & Drops Install,400.0,3,321,3321,15306,50321
562,Breaker Box Rewiring - 1902 New Butler,147.43,2,300,2300,15203,61300
633,3 printers for non alum line,618.19,5,906,5906,15501,75206
501,2 Manifolds 260 Brass High Flow for New Laser,340.8,3,111,3111,15302,50111
565,Gorbel Free Standing Crane - 1902 New Butler,321.37,3,311,3311,15305,50311
551,Steel Hoppers x2,358.66,3,380,3380,15313,79380
559,Punch Tooling,297.07,4,112,4112,15403,50112
511,"6"" high Chainlink fence around gas tanks - Moravia",264.58,2,111,2111,15204,50111
639,Leak Test Tank Fittings - 70 Eng Samples,1331.58,4,370,4370,15407,50370
636,2 computers for inventory,409.95,5,906,5906,15501,75206
506,Additional Prep work around Tank pads for gas tanks,253.52,2,111,2111,15204,50111
634,4 computers for inventory process control,391.28,5,906,5906,15501,75206
564,Surface Pro - Jen P,404.09,5,906,5906,15501,75206
632,2510 & 3030 Laser Punch Parts,211.43,3,111,3111,15302,50111
635,Amazon Computers new leak test tank,342.77,5,906,5906,15501,75206
535,Bench Scale - New Butler,300.74,3,311,3311,15305,50311
642,Sprinkler System - 1902 New Butler,76.06,2,300,2300,15203,61300
556,Metal Cutting Band Saw,182.29,3,113,3113,15304,50113
487,Security Cameras - Moravia & New Butler,1339.55,6,290,6290,15605,79290
557,Torque Tester,157.89,3,311,3311,15305,50311
521,Hand Held Plasma Cutter,283.38,3,112,3112,15303,50112
495,Lincoln Welder from Velocity Building,357.14,3,321,3321,15306,50321
524,Punch Tooling - Extrusion Assembly,150.08,4,111,4111,15402,50111
489,Pipe Bending Tooling,652.94,4,113,4113,15404,50113
493,2 Mold Cylinders - Ritter Technology LLC,336.83,4,401,4401,15408,50321
490,2 Mold Cylinders,322.8,4,401,4401,15408,50321
488,2 Mold Cylinders,322.8,4,401,4401,15408,50321
640,Punch Tooling,1110.97,4,111,4111,15402,50111
485,Oil Pump for Machine Maintenance,250.44,3,110,3110,15301,50110
482,2 Mold Cylinders,322.8,4,401,4401,15408,50321
483,2 Mold Cylinders,322.8,4,401,4401,15408,50321
484,Welder Arm,172.33,4,321,4321,15406,50321
29,Dell Computer Hardware,0.0,5,906,5000,15500,70600
44,Computer Equipment,0.0,5,906,5000,15500,70600
57,Forklift,0.0,3,0,3000,15300,61900
62,Warehouse Tools,0.0,3,0,3000,15300,61900
64,Color Plates Wide,0.0,3,0,3000,15300,61900
65,Color Plate Wide,0.0,3,0,3000,15300,61900
66,Shrinkwrap Machine,0.0,3,0,3000,15300,61900
67,Forklift Attachment,0.0,3,0,3000,15300,61900
68,Warehouse Shelving,0.0,3,0,3000,15300,61900
69,Band Saw,0.0,3,0,3000,15300,61900
70,Warehouse Tools,0.0,3,0,3000,15300,61900
71,Test Plug Equipment,0.0,3,0,3000,15300,61900
72,Refrigerator / Grille / Sander / Wet Vac,0.0,3,0,3000,15300,61900
73,Radiator Test Equipment,0.0,3,0,3000,15300,61900
74,Air Compressor,0.0,3,0,3000,15300,61900
76,Test Tank Equipment,0.0,3,0,3000,15300,61900
77,Load Binders,0.0,3,0,3000,15300,61900
79,Nissan Forklift,0.0,3,0,3000,15300,61900
80,Equipment,0.0,3,0,3000,15300,61900
81,HVAC for modular office,0.0,3,0,3000,15300,61900
83,Platforms,0.0,3,0,3000,15300,61900
84,Crane with Hoist Trolley,0.0,3,0,3000,15300,61900
87,Forklift,0.0,3,0,3000,15300,61900
88,Stretch Wrap Machine,0.0,3,0,3000,15300,61900
89,Instapak Machine,0.0,3,0,3000,15300,61900
90,Nissan CF40LP Forklift,0.0,3,0,3000,15300,61900
92,Scale & Zebra Printer,0.0,3,0,3000,15300,61900
93,TIG Welder & Accessories,0.0,3,0,3000,15300,61900
94,Nissan CF40LP Forklift,0.0,3,0,3000,15300,61900
95,Chain Link Fence - Outside,0.0,3,0,3000,15300,61900
96,Pallet Pal w/ Rotator Top,0.0,3,0,3000,15300,61900
97,Air Compressor,0.0,3,0,3000,15300,61900
98,Time Clock-Hand Punch,0.0,3,0,3000,15300,61900
99,Slear,0.0,3,0,3000,15300,61900
100,Punch,0.0,3,0,3000,15300,61900
101,Press Break,0.0,3,0,3000,15300,61900
102,Press Break 2,0.0,3,0,3000,15300,61900
103,Heager Press 1,0.0,3,0,3000,15300,61900
104,Collap Bins,0.0,3,0,3000,15300,61900
106,Pallet Stands,0.0,3,0,3000,15300,61900
107,Workstation Crane,0.0,3,0,3000,15300,61900
108,Assembly Area,0.0,3,0,3000,15300,61900
110,Nelson Wire Mesh Baskets,0.0,3,0,3000,15300,61900
111,Cabinets,0.0,5,906,5000,15500,70600
112,Racks,0.0,3,0,3000,15300,61900
114,Hoppers,0.0,3,0,3000,15300,61900
118,Bookcase,0.0,6,900,6000,15600,61900
119,Office Furniture,0.0,6,900,6000,15600,61900
120,Warehouse Shelving,0.0,6,900,6000,15600,61900
121,Table Bins,0.0,6,900,6000,15600,61900
122,Bookcase,0.0,6,900,6000,15600,61900
123,Trade Show Booth,0.0,6,900,6000,15600,61900
124,Lateral File Cabinets,0.0,6,900,6000,15600,61900
125,Office Furniture & Desks,0.0,6,900,6000,15600,61900
126,Safes,0.0,6,900,6000,15600,61900
128,Office Furniture,0.0,6,900,6000,15600,61900
129,Warehouse Shelving,0.0,6,900,6000,15600,61900
130,Lateral File Cabinets,0.0,6,900,6000,15600,61900
131,Window Head Rails,0.0,6,900,6000,15600,61900
132,Warehouse Lockers,0.0,6,900,6000,15600,61900
133,Office Furniture,0.0,6,900,6000,15600,61900
134,Warehouse Shelving,0.0,6,900,6000,15600,61900
135,Office Furniture,0.0,6,900,6000,15600,61900
136,Warehouse shelving,0.0,6,900,6000,15600,61900
137,Warehouse Shelving,0.0,6,900,6000,15600,61900
138,Office Furniture,0.0,6,900,6000,15600,61900
139,Desks,0.0,6,900,6000,15600,61900
140,Cubicles,0.0,6,900,6000,15600,61900
141,Warehouse Lighting,0.0,6,900,6000,15600,61900
142,Warehouse Shelving,0.0,6,900,6000,15600,61900
143,Office Furniture,0.0,6,900,6000,15600,61900
144,Warehouse Shelving,0.0,6,900,6000,15600,61900
145,Warehouse Bins,0.0,6,900,6000,15600,61900
146,Warehouse Shelving,0.0,6,900,6000,15600,61900
147,Warehouse Bins,0.0,6,900,6000,15600,61900
148,Warehouse Shelving,0.0,6,900,6000,15600,61900
149,Cubicles,0.0,6,900,6000,15600,61900
150,Tables & Chairs - Carla's Office,0.0,6,900,6000,15600,61900
151,Nicki's Desk & Work Space,0.0,6,900,6000,15600,61900
155,Modular Office,0.0,2,190,2000,15200,79190
156,Modular Office,0.0,2,190,2000,15200,79190
172,Computer Software,0.0,5,906,5000,15500,70700
173,MAS 500,0.0,5,906,5000,15500,70700
174,Computer Software,0.0,5,906,5000,15500,70700
175,Computer Software,0.0,5,906,5000,15500,70700
178,Inventory Mgt Sys,0.0,5,906,5000,15500,70700
179,Trumpf Punch Software,0.0,5,906,5000,15500,70700
180,Hand Punch Software,0.0,5,906,5000,15500,70700
181,MAS 500 P/Y Catch-Up,0.0,5,906,5000,15500,70700
182,Computer Software,0.0,5,906,5000,15500,70700
184,Lathe - Used,0.0,3,0,3000,15300,61900
185,Milling Machine - Used,0.0,3,0,3000,15300,61900
186,Rolling Band Saw - Used,0.0,3,0,3000,15300,61900
191,"Ladder, Forklift Gate, Stands - Used",0.0,3,0,3000,15300,61900
194,Haeger Insertion Press Break #2,0.0,3,0,3000,15300,61900
195,Speedy Packer Bench Style Model,0.0,3,0,3000,15300,61900
196,Trumpf SZ1 Thread Form,0.0,3,0,3000,15300,61900
198,Forklift - for Rolled Steel,0.0,3,0,3000,15300,61900
