AssetID,Desc,DeprYTD,cCode,cDesc,eCode,eDesc,odooAssetAcctNo,assetAcctDesc,odooExpAcctNo,expAcctDesc
506,Additional Prep work around Tank pads for gas tanks,253.52,2,Leasehold Improvements,111,MOR_SM_CUT,15204,Leasehold Improvements - MOR_SM_CUT,50111,MOR_SM_CUT
155,Modular Office,0.0,2,Leasehold Improvements,190,MORoffice,15200,Leasehold Improvements,79190,MORoffice
156,Modular Office,0.0,2,Leasehold Improvements,190,MORoffice,15200,Leasehold Improvements,79190,MORoffice
374,Office Renovations  Mar & Apr,8869.81,2,Leasehold Improvements,200,NBR,15202,Leasehold Improvements - NBR,61200,NBR
541,Highway Connector & Parking Lot Drainage- New Butler,844.46,2,Leasehold Improvements,200,NBR,15202,Leasehold Improvements - NBR,61200,NBR
371,Duct Work,1822.92,2,Leasehold Improvements,200,NBR,15202,Leasehold Improvements - NBR,61200,NBR
372,General Wiring Offices,1305.31,2,Leasehold Improvements,200,NBR,15202,Leasehold Improvements - NBR,61200,NBR
368,Heating & Air Conditioning,1337.89,2,Leasehold Improvements,200,NBR,15202,Leasehold Improvements - NBR,61200,NBR
643,Exterior Lighting - 1900 New Butler,384.23,2,Leasehold Improvements,200,NBR,15202,Leasehold Improvements - NBR,61200,NBR
373,Office Front Glass Work,460.73,2,Leasehold Improvements,200,NBR,15202,Leasehold Improvements - NBR,61200,NBR
567,"Kitchen, Bathrooms & Hallways - 1902 New Butler",4617.77,2,Leasehold Improvements,300,VEL,15203,Leasehold Improvements - VEL,61300,VEL
369,Office Renovation & Roof Replacement Jan & Feb,5855.24,2,Leasehold Improvements,300,VEL,15203,Leasehold Improvements - VEL,61300,VEL
563,Equipment Hook up with Conduit to Breaker boxes - 1902 NB,1039.28,2,Leasehold Improvements,300,VEL,15203,Leasehold Improvements - VEL,61300,VEL
641,Relocation of Mfg Cranes to 1902 New Butler,716.21,2,Leasehold Improvements,300,VEL,15203,Leasehold Improvements - VEL,61300,VEL
560,Internal Wiring - 1902 New Butler,622.87,2,Leasehold Improvements,300,VEL,15203,Leasehold Improvements - VEL,61300,VEL
562,Breaker Box Rewiring - 1902 New Butler,147.43,2,Leasehold Improvements,300,VEL,15203,Leasehold Improvements - VEL,61300,VEL
642,Sprinkler System - 1902 New Butler,76.06,2,Leasehold Improvements,300,VEL,15203,Leasehold Improvements - VEL,61300,VEL
377,Final Office renovations June,2688.33,2,Leasehold Improvements,390,VELoffice,15205,Leasehold Improvements - VELoffice,79390,VELoffic
283,Catch Basin & Dock Apron,597.61,2,Leasehold Improvements,980,Warehouse,15206,Leasehold Improvements - Warehouse,79900,
57,Forklift,0.0,3,Equipment,0,RCPall,15300,Equipment,61900,ALL
62,Warehouse Tools,0.0,3,Equipment,0,RCPall,15300,Equipment,61900,ALL
64,Color Plates Wide,0.0,3,Equipment,0,RCPall,15300,Equipment,61900,ALL
65,Color Plate Wide,0.0,3,Equipment,0,RCPall,15300,Equipment,61900,ALL
66,Shrinkwrap Machine,0.0,3,Equipment,0,RCPall,15300,Equipment,61900,ALL
67,Forklift Attachment,0.0,3,Equipment,0,RCPall,15300,Equipment,61900,ALL
68,Warehouse Shelving,0.0,3,Equipment,0,RCPall,15300,Equipment,61900,ALL
69,Band Saw,0.0,3,Equipment,0,RCPall,15300,Equipment,61900,ALL
70,Warehouse Tools,0.0,3,Equipment,0,RCPall,15300,Equipment,61900,ALL
