,AssetID,Desc,DeprYTD,Code
286,000370,"Wiring for lighting, data, & power in new office",0.0,0
287,000375,Wiring of Data and Phone Lines,0.0,0
288,000376,Final Electrical work,0.0,0
289,000378,Network Device Switch,0.0,0
290,000379,SAN server,0.0,0
291,000382,Qtech pc,0.0,0
292,000383,Milling Guy - New PC,0.0,0
293,000384,PC for Robotic Welder,0.0,0
294,000385,Dave Richardson PC - New Butler,0.0,0
295,000386,Carla  PC - New Butler,0.0,0
296,000387,New eng PC,0.0,0
297,000388,JIM PYER - LAPTOP,0.0,0
298,000389,LAPTOP - Brian Eng,0.0,0
299,000391,Software Scott 13 - AutoCAD LT 2012,0.0,0
300,000394,SOFTWARE FOR PROGRAMMING TEST MACHINES,0.0,0
301,000395,Scissor Lift,0.0,0
302,000396,Leonard Model Tubemaster Flaring & Bending Machine,0.0,0
303,000397,MIG Welders,0.0,0
304,000398,Flaring tool for tube bender,0.0,0
305,000399,crane 1000#cap 15' span - edney,0.0,0
306,000400,Moravia - electrical work welding area,0.0,0
307,000401,Moravia - electrical work tube bending area,0.0,0
308,000402,Crane for Weld Station,0.0,0
309,000404,Tube Bending Machine Computer Board,0.0,0
310,000406,Hoist for Mfg Crane,0.0,0
311,000407,Jib Crane,0.0,0
312,000408,Instapak Machine - New Butler Road,0.0,0
313,000409,CNC Electrical Wiring,0.0,0
314,000410,CNC Milll Magnets x2,0.0,0
315,000411,"Wiring of New Lines - CNC Mill #1, Tube Bender & other Machines - Moravia",0.0,0
316,000412,New CNC MILL #2,0.0,0
317,000413,40 BLACK BINS,0.0,0
318,000414,LATHE - OKUMA GENOS L300,0.0,0
319,000415,CNC LATHE Transformer,0.0,0
320,000418,"Wiring of CNC Lathe & new CNC Mill #2, & Adjusted Light Assembly Area",0.0,0
321,000419,2 60 inch TV's Dave & Carla - New Butler,0.0,0
322,000421,CNC Lathe - Short Bar Feeder,0.0,0
323,000424,Used CNC Machine - Trade Mold Tank 5,0.0,0
324,000426,Bluco Fixture Table for Deutz,326.47,112
325,000427,"Tube Bender, Expander reducer machine",61.36,113
326,000428,H&H Press Head Spot Welder,0.01,112
327,000431,Color Printer,0.0,0
328,000432,Computer Pete Rossin -  Apple Ipad,0.0,0
329,000433,"DJR's 18"" Tablet",0.0,0
330,000434,Jim Richardson Lakehouse Computer,0.0,0
331,000435,Software upgrade for Lathe,0.0,0
332,000436,Dock Repairs - Moravia,0.0,0
333,000437,DJR Computer - Moravia,0.0,0
334,000438,Large Chiller-Spot Welder,34.29,112
335,000439,TIG Welder,0.0,0
336,000440,Thermal Cycle Testing Imaging Camera,23.87,949
337,000441,Chiller-Thermal Cycle Tester,240.53,949
338,000442,DJR Computer New Butler,0.0,0
339,000443,Computer Server Switch,0.0,0
340,000445,Computer Firewall,0.0,0
341,000448,40 Black Bins,264.3,980
342,000449,Gray Warehouse Reacking - New Butler,287.42,280
343,000451,CAC Pipe Racking,0.0,0
344,000452,Racking - New Butler,222.89,280
345,000453,Floor Scale - New Butler,388.72,280
346,000454,50 Black Bins,1101.18,980
347,000455,TIG Welder - Moravia,0.0,0
348,000456,TIG Welder - New Butler,0.0,0
349,000457,Robotic Welder #2,15158.11,321
350,000458,Robotic Welder #3,15158.11,321
351,000459,Conveyor for Trumpf Punch,306.19,111
352,000460,OKUMA 3000 Lathe,10833.32,321
353,000461,Fixture for New Robotic Welder,2263.91,321
354,000463,TruBend 7036,13916.11,112
355,000464,Tube Bender,4337.45,113
356,000474,Current Monitor & Pressure Transducer - Weld Nut Machine,21.99,112
357,000475,6 New Wifi Devices,0.0,0
358,000476,DJR Tablet,0.0,0
359,000477,3 Network Switches - System Overhaul,0.0,0
360,000478,Pyer Tablet,0.0,0
361,000479,Leased Furniture for Florida Guest House,1407.49,900
362,000480,Leased Furniture for Florida Guest House,1651.93,900
363,000481,Compressor at Moravia,1929.44,110
364,000486,2 Dot Hill Server Controllers housed at RCP,0.0,0
365,000491,DJR Computer - Dell Venue 11 Pro,22.99,900
366,000492,3 Computer Servers - Upgrades,335.68,900
367,000494,CRM Software,0.0,0
368,000496,Computer - Edney,95.95,900
369,000497,Windchill upgrade server software,0.0,0
370,000505,Surface Pro Computer,403.24,900
371,000517,Sophos Cloud Email Protection,0.0,0
372,000518,Windchill CREO Tool Design Software,0.0,0
